date,cash,dividend_receivable,market_value,total_value,transaction_cost
2006-01-04,100000.0,0,0.0,100000.0,0.0
2006-01-05,170.68,0,99749.52,99920.2,79.8
2006-01-06,170.68,0,100883.12,101053.8,0.0
2006-01-09,170.68,0,101426.0,101596.68,0.0
2006-01-10,170.68,0,101727.6,101898.28,0.0
2006-01-11,170.68,0,101241.92,101412.6,0.0
2006-01-12,170.68,0,102306.88,102477.56,0.0
2006-01-13,170.68,0,101796.24,101966.92,0.0
2006-01-16,170.68,0,99989.76,100160.44,0.0
2006-01-17,170.68,0,100286.16,100456.84,0.0
2006-01-18,170.68,0,102296.48,102467.16,0.0
2006-01-19,170.68,0,103086.88,103257.56,0.0
2006-01-20,170.68,0,103307.36,103478.04,0.0
2006-01-23,170.68,0,103600.64,103771.32,0.0
2006-01-24,170.68,0,103905.36,104076.04,0.0
2006-01-25,170.68,0,104998.4,105169.08,0.0
2006-02-06,170.68,0,107455.92,107626.6,0.0
2006-02-07,170.68,0,107113.76,107284.44,0.0
2006-02-08,170.68,0,107439.28,107609.96,0.0
2006-02-09,170.68,0,106038.4,106209.08,0.0
2006-02-10,170.68,0,107363.36,107534.04,0.0
2006-02-13,170.68,0,107287.44,107458.12,0.0
2006-02-14,170.68,0,108007.12,108177.8,0.0
2006-02-15,170.68,0,108332.64,108503.32,0.0
2006-02-16,170.68,0,106092.48,106263.16,0.0
2006-02-17,170.68,0,106118.48,106289.16,0.0
2006-02-20,170.68,0,106250.56,106421.24,0.0
2006-02-21,170.68,0,108037.28,108207.96,0.0
2006-02-22,170.68,0,107939.52,108110.2,0.0
2006-02-23,170.68,0,108302.48,108473.16,0.0
2006-02-24,170.68,0,109141.76,109312.44,0.0
2006-02-27,170.68,0,108975.36,109146.04,0.0
2006-02-28,109596.11,0,0.0,109596.11,87.61
2006-03-01,109596.11,0,0.0,109596.11,0.0
2006-03-02,109596.11,0,0.0,109596.11,0.0
2006-03-03,109596.11,0,0.0,109596.11,0.0
2006-03-06,109596.11,0,0.0,109596.11,0.0
2006-03-07,109596.11,0,0.0,109596.11,0.0
2006-03-08,109596.11,0,0.0,109596.11,0.0
2006-03-09,109596.11,0,0.0,109596.11,0.0
2006-03-10,109596.11,0,0.0,109596.11,0.0
2006-03-13,109596.11,0,0.0,109596.11,0.0
2006-03-14,109596.11,0,0.0,109596.11,0.0
2006-03-15,109596.11,0,0.0,109596.11,0.0
2006-03-16,109596.11,0,0.0,109596.11,0.0
2006-03-17,109596.11,0,0.0,109596.11,0.0
2006-03-20,109596.11,0,0.0,109596.11,0.0
2006-03-21,109596.11,0,0.0,109596.11,0.0
2006-03-22,109596.11,0,0.0,109596.11,0.0
2006-03-23,109596.11,0,0.0,109596.11,0.0
2006-03-24,109596.11,0,0.0,109596.11,0.0
2006-03-27,109596.11,0,0.0,109596.11,0.0
2006-03-28,109596.11,0,0.0,109596.11,0.0
2006-03-29,109596.11,0,0.0,109596.11,0.0
2006-03-30,109596.11,0,0.0,109596.11,0.0
2006-03-31,216.406,0,109292.27,109508.676,87.434
2006-04-03,216.406,0,111169.96,111386.366,0.0
2006-04-04,216.406,0,112205.11,112421.516,0.0
2006-04-05,216.406,0,113296.91,113513.316,0.0
2006-04-06,216.406,0,113633.72,113850.126,0.0
2006-04-07,216.406,0,113624.45,113840.856,0.0
2006-04-10,216.406,0,115144.73,115361.136,0.0
2006-04-11,216.406,0,115700.93,115917.336,0.0
2006-04-12,216.406,0,115058.21,115274.616,0.0
2006-04-13,216.406,0,112673.76,112890.166,0.0
2006-04-14,216.406,0,115216.83,115433.236,0.0
2006-04-17,216.406,0,115814.23,116030.636,0.0
2006-04-18,216.406,0,116521.84,116738.246,0.0
2006-04-19,216.406,0,117238.72,117455.126,0.0
2006-04-20,216.406,0,116841.14,117057.546,0.0
2006-04-21,216.406,0,118363.48,118579.886,0.0
2006-04-24,216.406,0,117698.1,117914.506,0.0
2006-04-25,216.406,0,117618.79,117835.196,0.0
2006-04-26,216.406,0,119040.19,119256.596,0.0
2006-04-27,216.406,0,118992.81,119209.216,0.0
2006-04-28,216.406,0,120752.05,120968.456,0.0
2006-05-08,216.406,0,125499.32,125715.726,0.0
2006-05-09,216.406,0,128915.83,129132.236,0.0
2006-05-10,216.406,0,130390.79,130607.196,0.0
2006-05-11,216.406,0,129269.12,129485.526,0.0
2006-05-12,216.406,0,133514.78,133731.186,0.0
2006-05-15,216.406,0,139272.48,139488.886,0.0
2006-05-16,216.406,0,137106.39,137322.796,0.0
2006-05-17,216.406,0,137558.56,137774.966,0.0
2006-05-18,216.406,0,137113.6,137330.006,0.0
2006-05-19,216.406,0,140708.3,140924.706,0.0
2006-05-22,216.406,0,141488.01,141704.416,0.0
2006-05-23,216.406,0,135717.95,135934.356,0.0
2006-05-24,216.406,0,134748.72,134965.126,0.0
2006-05-25,216.406,0,134693.1,134909.506,0.0
2006-05-26,216.406,0,137095.06,137311.466,0.0
2006-05-29,216.406,0,140727.87,140944.276,0.0
2006-05-30,216.406,0,142012.28,142228.686,0.0
2006-05-31,216.406,0,140641.35,140857.756,0.0
2006-06-01,216.406,0,144496.64,144713.046,0.0
2006-06-02,216.406,0,143182.36,143398.766,0.0
2006-06-05,216.406,0,144525.48,144741.886,0.0
2006-06-06,216.406,0,144111.42,144327.826,0.0
2006-06-07,136091.309,0,0.0,136091.309,108.787
2006-06-08,136091.309,0,0.0,136091.309,0.0
2006-06-09,136091.309,0,0.0,136091.309,0.0
2006-06-12,136091.309,0,0.0,136091.309,0.0
2006-06-13,136091.309,0,0.0,136091.309,0.0
2006-06-14,136091.309,0,0.0,136091.309,0.0
2006-06-15,136091.309,0,0.0,136091.309,0.0
2006-06-16,136091.309,0,0.0,136091.309,0.0
2006-06-19,1159.56,0,134823.89,135983.45,107.859
2006-06-20,1159.56,0,135160.22,136319.78,0.0
2006-06-21,1159.56,0,134686.53,135846.09,0.0
2006-06-22,1159.56,0,134486.55,135646.11,0.0
2006-06-23,1159.56,0,135284.45,136444.01,0.0
2006-06-26,1159.56,0,137704.41,138863.97,0.0
2006-06-27,1159.56,0,137753.9,138913.46,0.0
2006-06-28,1159.56,0,137650.88,138810.44,0.0
2006-06-29,1159.56,0,140907.12,142066.68,0.0
2006-06-30,1159.56,0,140789.96,141949.52,0.0
2006-07-03,1159.56,0,143453.33,144612.89,0.0
2006-07-04,1159.56,0,142512.01,143671.57,0.0
2006-07-05,1159.56,0,140694.01,141853.57,0.0
2006-07-06,1159.56,0,143286.68,144446.24,0.0
2006-07-07,1159.56,0,142453.43,143612.99,0.0
2006-07-10,1159.56,0,142624.12,143783.68,0.0
2006-07-11,1159.56,0,143276.58,144436.14,0.0
2006-07-12,1159.56,0,143339.2,144498.76,0.0
2006-07-13,1159.56,0,135955.09,137114.65,0.0
2006-07-14,1159.56,0,137070.13,138229.69,0.0
2006-07-17,1159.56,0,138597.25,139756.81,0.0
2006-07-18,1159.56,0,138715.42,139874.98,0.0
2006-07-19,136052.2,0,0.0,136052.2,108.001
2006-07-20,136052.2,0,0.0,136052.2,0.0
2006-07-21,136052.2,0,0.0,136052.2,0.0
2006-07-24,136052.2,0,0.0,136052.2,0.0
2006-07-25,136052.2,0,0.0,136052.2,0.0
2006-07-26,136052.2,0,0.0,136052.2,0.0
2006-07-27,136052.2,0,0.0,136052.2,0.0
2006-07-28,136052.2,0,0.0,136052.2,0.0
2006-07-31,136052.2,0,0.0,136052.2,0.0
2006-08-01,136052.2,0,0.0,136052.2,0.0
2006-08-02,136052.2,0,0.0,136052.2,0.0
2006-08-03,136052.2,0,0.0,136052.2,0.0
2006-08-04,136052.2,0,0.0,136052.2,0.0
2006-08-07,136052.2,0,0.0,136052.2,0.0
2006-08-08,136052.2,0,0.0,136052.2,0.0
2006-08-09,136052.2,0,0.0,136052.2,0.0
2006-08-10,136052.2,0,0.0,136052.2,0.0
2006-08-11,136052.2,0,0.0,136052.2,0.0
2006-08-14,136052.2,0,0.0,136052.2,0.0
2006-08-15,136052.2,0,0.0,136052.2,0.0
2006-08-16,136052.2,0,0.0,136052.2,0.0
2006-08-17,136052.2,0,0.0,136052.2,0.0
2006-08-18,136052.2,0,0.0,136052.2,0.0
2006-08-21,136052.2,0,0.0,136052.2,0.0
2006-08-22,136052.2,0,0.0,136052.2,0.0
2006-08-23,136052.2,0,0.0,136052.2,0.0
2006-08-24,136052.2,0,0.0,136052.2,0.0
